pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
215,1054,75,11179,129660452,-1,-0.01
215,1034,75,11179,129660437,-1,-0.01
215,1054,75,11179,129660437,-1,-0.01
235,1403,81,12160,140463753,2,1019.55
235,1403,81,12160,140463795,3,2161.19
236,992,95,11178,143373090,-2,-1584.44
236,992,95,11178,143373314,-2,-1385.99
236,992,95,11178,143373348,-1,-696.75
236,992,95,11178,144925708,-1,-777.4
236,992,95,11178,144926003,-1,-986.84
236,992,95,11178,160024244,-1,-634.81
236,992,95,11178,160024260,-1,-1070.47
236,992,95,11178,160024298,-1,-995.97
236,992,95,11178,160024306,-2,-2005.45
236,992,95,11178,160024311,-1,-865.28
236,992,95,11178,160024358,-2,-1280.68
236,992,95,11178,160024396,-2,-1389
236,992,95,11178,160060987,-1,-539.64
247,1474,81,12160,140128057,11,806.13
247,1569,81,12160,140128057,11,804.05
247,1474,81,12160,140463753,10,646.25
247,1569,81,12160,140463753,8,519.8
247,1474,81,12160,140463795,11,1004.46
247,1569,81,12160,140463795,11,1003.51
215,983,22,11040,100011099,48,709.38
215,1002,22,11040,100011099,9,123.97
215,1003,22,11040,100011099,23,328.4
223,1578,22,11040,100011099,17,25858
223,1639,22,11040,100011099,24,36411
223,1421,22,11040,100011099,9,13812
236,1015,22,11007,100012024,-5,-43.25
236,1016,22,11007,100012024,-2,-17.3
236,1026,22,11007,100012024,-1,-9.38
236,1028,22,11007,100012024,19,249.28
236,1121,22,11007,100012024,-3,-32.73
236,1386,22,11007,100012024,16,209.23
244,10071,22,11007,100012024,631,5180.93
244,10081,22,11007,100012024,253,2068.36
244,10082,22,11007,100012024,54,425.15
196,10298,22,11007,100012024,2412,17234.44
196,10299,22,11007,100012024,155,2059.43
196,10300,22,11007,100012024,64,1523.49
196,10301,22,11007,100012024,162,6837.25
196,10310,22,11007,100012024,14,268.59
196,10319,22,11007,100012024,34,589.01
196,10320,22,11007,100012024,14,184.54
196,10322,22,11007,100012024,129,1151.33
196,10349,22,11007,100012024,10,425.26
196,10350,22,11007,100012024,35,1333.89
196,10308,22,11007,100012024,24,307.26
196,10334,22,11007,100012024,68,1113.88
196,10335,22,11007,100012024,9,268.31
236,1011,22,11042,100012040,4,41.98
236,1012,22,11042,100012040,21,219.04
236,1015,22,11042,100012040,25,261.85
236,1016,22,11042,100012040,6,62.97
236,1026,22,11042,100012040,10,104.91
236,1028,22,11042,100012040,16,167.88
236,1058,22,11042,100012040,300,3111.54
236,1381,22,11042,100012040,15,157.38
236,1383,22,11042,100012040,10,104.85
236,1386,22,11042,100012040,2,20.98
196,10299,22,11042,100012040,27,900.31
196,10300,22,11042,100012040,12,399.85
196,10320,22,11042,100012040,5,167.62
196,10322,22,11042,100012040,24,800.53
196,10308,22,11042,100012040,11,367.01
196,10335,22,11042,100012040,12,400.16
215,983,22,11001,100012105,4,104.71
215,1002,22,11001,100012105,4,104.7
215,1003,22,11001,100012105,29,762.02
223,1639,22,11001,100012105,48,222130
233,1567,22,11001,100012105,24,7029.07
236,1011,22,11001,100012105,19,773.9
236,1012,22,11001,100012105,22,891.87
236,1015,22,11001,100012105,21,860.37
236,1016,22,11001,100012105,14,573.88
236,1026,22,11001,100012105,19,780.8
236,1028,22,11001,100012105,58,2386.39
236,1039,22,11001,100012105,8,318.2
236,1040,22,11001,100012105,14,569.59
236,1044,22,11001,100012105,11,436.75
236,1058,22,11001,100012105,12,494.87
236,1119,22,11001,100012105,17,687.06
236,1120,22,11001,100012105,14,565.97
236,1121,22,11001,100012105,9,368.03
236,1122,22,11001,100012105,4,164.96
236,1381,22,11001,100012105,13,530.72
236,1383,22,11001,100012105,17,693.9
236,1385,22,11001,100012105,23,915.7
236,1386,22,11001,100012105,6,247.34
238,993,22,11001,100012105,8,320.32
244,10071,22,11001,100012105,132,3830.99
244,10081,22,11001,100012105,73,2145.84
223,1421,22,11001,100012105,8,30908
196,10298,22,11001,100012105,12,1290.62
196,10299,22,11001,100012105,7,754.01
196,10300,22,11001,100012105,13,1397.88
196,10301,22,11001,100012105,4,385.59
196,10319,22,11001,100012105,12,1290.62
196,10320,22,11001,100012105,4,432.94
196,10322,22,11001,100012105,10,1081.05
196,10350,22,11001,100012105,5,530.52
196,10308,22,11001,100012105,13,1383.1
196,10334,22,11001,100012105,17,1835.06
196,10335,22,11001,100012105,7,696.53
175,1069,22,11001,100012105,21,657.2
236,1582,22,11001,100012105,19,774.81
236,1583,22,11001,100012105,18,740.78
236,1584,22,11001,100012105,5,195.62
236,1559,22,11001,100012105,12,474.65
233,1524,22,11001,100012105,11,3221.69
236,1011,22,12197,100012466,211,4007.49
236,1012,22,12197,100012466,145,2753.17
236,1015,22,12197,100012466,458,8429.5
236,1016,22,12197,100012466,453,8337.51
236,1026,22,12197,100012466,290,5476.26
236,1028,22,12197,100012466,242,4502.02
236,1039,22,12197,100012466,40,750.57
236,1040,22,12197,100012466,33,628.08
236,1043,22,12197,100012466,20,380.68
236,1044,22,12197,100012466,32,591.24
236,1058,22,12197,100012466,31983,608705.15
236,1119,22,12197,100012466,47,859.18
236,1120,22,12197,100012466,59,1107.43
